Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114
P9503_119_S19_L001_R1_001 - illumina_universal_adapter	1.2872436599066208e-05	1.2872436599066208e-05	1.2872436599066208e-05	2.5744873198132415e-05	2.5744873198132415e-05	3.861730979719862e-05	3.861730979719862e-05	3.861730979719862e-05	3.861730979719862e-05	3.861730979719862e-05	3.861730979719862e-05	3.861730979719862e-05	4.5053528096731726e-05	5.7925964695797934e-05	6.436218299533104e-05	6.436218299533104e-05	6.436218299533104e-05	6.436218299533104e-05	6.436218299533104e-05	6.436218299533104e-05	6.436218299533104e-05	9.654327449299656e-05	0.00014159680258972828	0.00021883142218412556	0.00043122662606871797	0.0009139429985337008	0.0014030955892982166	0.002246240186537053	0.00410630727510212	0.0076204824666471944	0.011533703192763322	0.016386611790611284	0.022552508921563998	0.03226476233555945	0.04440990626677842	0.059773159347763935	0.07672615834873413	0.09504363562920534	0.11574251368050381	0.14083732883038336	0.1695171175731029	0.20236757577391984	0.24003232526278756	0.2818741804280523	0.329064533000229	0.3821697701896766	0.44417629728737856	0.5132176109864701	0.5879099243525518	0.6703128272414742	0.7633741076344234	0.8668942427641138	0.9834412837320592	1.1112517067241876	1.2516513727102028	1.4011518513717576	1.5650758952425663	1.7448459085668255	1.941028278554894	2.1512158595627464	2.377957394036998	2.6210276143371654
P9503_119_S19_L001_R2_001 - illumina_universal_adapter	0.0	0.0	0.0	1.2872436599066208e-05	1.2872436599066208e-05	2.5744873198132415e-05	2.5744873198132415e-05	2.5744873198132415e-05	2.5744873198132415e-05	2.5744873198132415e-05	2.5744873198132415e-05	2.5744873198132415e-05	3.218109149766552e-05	4.5053528096731726e-05	5.148974639626483e-05	5.148974639626483e-05	5.148974639626483e-05	5.148974639626483e-05	5.148974639626483e-05	5.148974639626483e-05	5.148974639626483e-05	8.367083789393035e-05	0.00012872436599066208	0.00020595898558505932	0.0004183541894696518	0.0009010705619346345	0.0013902231526991505	0.0022526764048365865	0.004112743493401653	0.00760761003004813	0.011507958319565189	0.016386611790611284	0.022513891611766798	0.03218752771596505	0.04424900080929009	0.05964443498177328	0.07653307179974814	0.09485698529851888	0.11543357520212622	0.1404962092605081	0.16906014607383604	0.20163384688777308	0.23904758386295902	0.28039385021915963	0.3271980296933644	0.379904221348241	0.44154388400286954	0.5103148765333807	0.5846017081465918	0.6662451372761693	0.7590682775920357	0.8620155892930677	0.9775907612977837	1.104763998678258	1.2445264790526196	1.3929585454764521	1.5557691235814413	1.7344449797947799	1.9289410605883708	2.1375710767677365	2.3623366922240314	2.6039716358434024
P9503_119_S19_L002_R1_001 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2812618276482465e-05	1.2812618276482465e-05	1.2812618276482465e-05	1.2812618276482465e-05	1.2812618276482465e-05	1.2812618276482465e-05	1.2812618276482465e-05	1.2812618276482465e-05	1.2812618276482465e-05	1.2812618276482465e-05	2.562523655296493e-05	2.562523655296493e-05	3.203154569120616e-05	3.843785482944739e-05	7.046940052065355e-05	0.00020500189242371946	0.0005253173493357811	0.0010121968438421148	0.0016976719216339265	0.002517679491328804	0.004586917342980723	0.008020699041078022	0.012825430894758946	0.01825157473484927	0.024343974725316686	0.033408902155928025	0.0458499545023925	0.060437120410167786	0.07666430145733283	0.09456352918957883	0.1155634105447336	0.1399906672888474	0.1692739063597481	0.20365656750468877	0.2411206633451235	0.2819480714831349	0.3280991225150247	0.38057960697549686	0.440811725493241	0.5092567323262103	0.5852804028697189	0.6666469352345209	0.7583468442393059	0.8604313803571799	0.9729069498972813	1.0981631061681738	1.232862162108834	1.3818088495729426	1.5449583243965321	1.7251293626004285	1.9217325837439136	2.1291432484036115	2.3550809590911035	2.5962592792184713
P9503_119_S19_L002_R2_001 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2812618276482465e-05	1.2812618276482465e-05	1.9218927414723696e-05	2.562523655296493e-05	5.765678224417109e-05	0.00019218927414723697	0.0005060984219210573	0.0009737589890126674	0.0016656403759427204	0.002511273182190563	0.004561292106427757	0.008014292731939782	0.012895900295279601	0.018270793662263994	0.024311943179625477	0.0332807759731632	0.04558729582772461	0.05991820936997025	0.07597882637954101	0.09381399102040461	0.11473699666590048	0.13917065971915255	0.16841546093522375	0.20262515173343193	0.23988424568144295	0.28044899514478644	0.3263502001202849	0.3787538088710981	0.4386656119319301	0.5067326465257432	0.582198968174225	0.6628928380795115	0.7541891496085873	0.8556714926674667	0.9676281511673704	1.092506335199107	1.2265006971345604	1.3744223751365505	1.5363738701512888	1.7151931771270164	1.910060288494038	2.116157659780397	2.3399876947614073	2.5792697473838553
P9503_119_S19_L003_R1_001 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2661840479549481e-05	2.5323680959098962e-05	2.5323680959098962e-05	3.16546011988737e-05	3.798552143864845e-05	4.4316441678423186e-05	5.0647361918197924e-05	5.0647361918197924e-05	5.0647361918197924e-05	5.0647361918197924e-05	5.697828215797267e-05	9.496380359662111e-05	0.0001076256440761706	0.00013294932503526955	0.00017726576671369274	0.00027222957031031387	0.00044316441678423187	0.0008863288335684637	0.001443449814668641	0.002412080611354176	0.0041467527570524555	0.007242572754302303	0.011382994591114984	0.016314781457899507	0.02272800366079132	0.031154458499931502	0.043062919470947786	0.05786461099154113	0.07457824042454644	0.09252006838406807	0.11279167499182678	0.13793175926397228	0.16680708647758485	0.20054456043534447	0.23778936420593927	0.2794151647824582	0.327030015905804	0.3805199610116608	0.44108787494558577	0.5074422499786648	0.5813620746982746	0.6621889333994788	0.7526197981044211	0.8545855994862331	0.9699666208561277	1.0950086265119188	1.2289898915462716	1.3748353011099623	1.5391353431725965	1.7190917509881933	1.911811294007176	2.1198706567671333	2.341908691416513	2.583243370956726
P9503_119_S19_L003_R2_001 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2661840479549481e-05	2.5323680959098962e-05	2.5323680959098962e-05	3.16546011988737e-05	4.4316441678423186e-05	5.697828215797267e-05	6.33092023977474e-05	6.33092023977474e-05	6.33092023977474e-05	6.33092023977474e-05	8.863288335684637e-05	0.00013294932503526955	0.00014561116551481905	0.000170934846473918	0.0002152512881523412	0.0003102150917489623	0.00046215717750355606	0.0008863288335684637	0.001443449814668641	0.002412080611354176	0.004108767235613807	0.007217249073343204	0.011307023548237687	0.016283126856700633	0.022620378016715147	0.031021509174896232	0.04289831554471364	0.057497417617634196	0.07410975232680311	0.09197560924344743	0.11189901523801854	0.136646582455298	0.1651927018164423	0.1985566514800552	0.23545958555770216	0.2769461058889461	0.3241241235157474	0.3770632785607438	0.43718169715764477	0.5033271518228113	0.5766708628006016	0.6568329748766293	0.7467700278028693	0.8485585634179675	0.9635977150949144	1.0883295056589564	1.2222411305706717	1.3676117211163792	1.532038381583809	1.7120517676815639	1.9048789363446228	2.112463480086597	2.3351789232016325	2.577020076361028
P9503_120_S20_L001_R1_001 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.8058160277970463e-05	2.4077547037293952e-05	3.009693379661744e-05	5.41744808339114e-05	7.223264111188185e-05	0.0001444652822237637	0.0003431050452814388	0.0008366947595459649	0.0014566915957562841	0.002233192487709014	0.003756097337817857	0.007060740668686452	0.012104986772999536	0.017420105281482176	0.023752500152290485	0.032576921141458715	0.04506112928029563	0.05970027787897035	0.07597669967618106	0.09386029773813115	0.11546387681734316	0.14162413167336302	0.17250960513545185	0.20820456861824013	0.24704767137615463	0.2900742479317989	0.34044447633381786	0.3987301983243472	0.4675137308231367	0.5453323628476707	0.630338142662837	0.7234399976692933	0.8243128809820365	0.9400656883638272	1.069964054630028	1.2122683770071947	1.3671712758716252	1.5352807092860117	1.7196244287902935	1.9244280438895158	2.149529031141177	2.3938920560226733	2.6515037511614405	2.9272458392192906
P9503_120_S20_L001_R2_001 - illumina_universal_adapter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.2038773518646976e-05	1.8058160277970463e-05	2.4077547037293952e-05	3.009693379661744e-05	4.8155094074587905e-05	6.019386759323488e-05	0.00013844589546444024	0.00034912443204076235	0.0008366947595459649	0.0014627109825156076	0.002251250647986985	0.0038283299789297386	0.007145012083316981	0.012123044933277505	0.017420105281482176	0.023740461378771838	0.032408378312197665	0.0447721987158481	0.059357172833688916	0.07561553647062166	0.09342690189145986	0.11486795752817013	0.14063695224483397	0.17128766962330916	0.20648302400507362	0.24476030440761168	0.28728727186223213	0.33720604625730183	0.3946249765544886	0.46265608570836264	0.5397945270290931	0.6238492437362864	0.7155485816278204	0.8153740916444411	0.9297785563921432	1.058274405543422	1.1990076679764048	1.3522251385482251	1.518203709049811	1.699688219843414	1.9017831109009409	2.123290524257286	2.3636988120379065	2.616549172250049	2.888222154858596
P9503_120_S20_L002_R1_001 - illumina_universal_adapter	0.0	0.0	0.0	1.1927809556775718e-05	1.1927809556775718e-05	2.3855619113551436e-05	2.3855619113551436e-05	2.3855619113551436e-05	3.578342867032715e-05	5.3675143005490727e-05	5.963904778387859e-05	5.963904778387859e-05	5.963904778387859e-05	5.963904778387859e-05	5.963904778387859e-05	6.560295256226645e-05	7.15668573406543e-05	8.349466689743002e-05	8.945857167581787e-05	9.542247645420574e-05	0.00011331419078936932	0.00011927809556775718	0.00020873666724357506	0.0003459064771464958	0.0005546431443900709	0.0008886218119797909	0.0014790483850401891	0.00228417553012255	0.004180697249649889	0.007729220592790666	0.012106726700127354	0.01719990138087058	0.023372542826502016	0.032020204755164414	0.04436548764642728	0.05980007321289506	0.07651093440193785	0.09496921969104827	0.1168090389895046	0.14235840706011818	0.17419373076715258	0.21059144162965368	0.251020752122345	0.2953623841496587	0.34471369619081826	0.40266495892241305	0.47067136511036983	0.5470451297024047	0.6304563019329373	0.7218352509473961	0.8252851432333119	0.9399113930739266	1.0675807026648754	1.2084779530542886	1.3622572377650195	1.5306480891828007	1.717276561412892	1.920508544546015	2.1439939483065436	2.3841663576370005	2.640602335298122	2.9160333496784085
