Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
P9503_119_S19_L001_R1_001	1.0	2.5	2.0	0.5	3.0	3.5	4.5	5.5	4.5	6.0	10.5	14.0	28.0	79.5	166.0	440.0	805.0	1369.5	1846.5	2744.5	4455.5	6712.0	8957.5	11103.5	13535.5	17130.0	22889.5	29599.0	39107.0	54287.0	75348.5	105068.0	143740.5	189527.5	245780.5	303665.0	358019.5	413878.0	469262.0	515602.0	545518.5	559092.0	558593.5	528007.0	478214.0	424880.5	362782.0	299404.0	238342.0	192365.5	150402.5	106783.0	76505.0	57524.5	41906.0	30470.5	23170.0	16649.0	12953.0	9625.5	5817.5	3899.0	3253.5	2491.5	1866.0	1375.5	790.5	373.0	141.0	68.0	32.5	15.0	12.0	6.0	1.0	0.5	0.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_119_S19_L001_R2_001	99.0	85.5	70.5	74.5	79.5	72.0	74.5	93.0	90.0	96.5	127.5	154.0	183.5	203.5	212.0	264.5	388.0	563.0	654.5	944.5	1360.5	1941.5	3344.5	4873.5	7160.5	10731.0	16020.0	25343.0	40016.0	59859.5	84924.0	122297.0	170939.0	222822.0	284798.0	349953.0	413350.0	475263.0	526157.0	558654.0	568425.0	568791.5	559106.0	514222.0	445962.0	382471.5	320739.0	256059.5	196587.0	153567.0	119766.0	83979.5	57359.5	41843.5	29727.0	23223.5	18644.0	13440.0	9088.5	5756.0	3858.0	2955.0	2423.5	1914.0	1531.5	1127.5	670.0	367.5	185.5	108.0	71.0	54.0	40.0	28.0	18.0	12.0	15.0	14.0	15.5	14.5	13.5	12.0	6.5	3.5	4.0	4.5	4.0	4.0	3.0	1.0	0.5	1.0	1.5	2.0	2.0	1.5	1.0	1.0	0.5	0.0	1.0
P9503_119_S19_L002_R1_001	4.0	3.0	1.5	1.5	2.5	3.0	3.0	6.5	8.0	9.0	12.0	14.0	26.0	66.5	160.5	423.5	774.0	1349.5	1844.5	2745.0	4500.0	6773.5	8856.5	10944.0	13545.0	17316.5	23019.5	29555.5	39438.0	54719.0	75469.5	105476.5	144058.5	189848.5	246388.5	304878.5	359439.0	415095.5	470957.5	517698.5	548256.5	562475.0	561439.0	530403.5	481054.0	427758.0	364727.0	300387.0	239135.5	193100.5	150846.0	107191.5	77399.0	58464.0	42634.5	30896.0	23322.0	16840.5	13104.0	9752.5	5919.5	3891.5	3275.5	2494.0	1826.0	1359.0	758.5	350.5	138.0	79.5	41.5	18.0	16.0	12.0	2.0	1.0	1.0	0.5	1.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_119_S19_L002_R2_001	13.0	7.5	4.5	7.5	8.0	12.5	18.0	29.0	42.0	47.0	61.0	82.0	108.5	128.5	147.0	199.5	323.5	532.5	652.0	941.0	1346.5	1966.5	3379.5	4854.0	7108.0	10792.5	16249.5	25395.5	40159.5	60194.0	85525.0	123066.5	171164.0	223598.0	286406.5	351652.0	415844.0	478118.5	528560.5	560251.0	570295.5	571303.0	561926.5	516038.5	447448.5	384617.5	322541.5	257276.0	197480.5	154823.0	120796.0	84587.5	57741.0	42333.5	30134.5	23472.5	18822.0	13612.5	9155.0	5821.5	3860.0	2916.0	2459.0	1938.5	1525.0	1118.5	692.5	375.5	183.5	112.0	80.0	63.0	48.5	31.0	24.0	20.0	20.0	20.0	15.5	11.5	7.5	8.0	7.0	4.5	5.5	5.0	3.5	2.5	3.0	5.0	5.5	4.5	2.5	1.0	0.0	0.5	1.5	2.0	3.0	2.0	1.0
P9503_119_S19_L003_R1_001	4.0	2.5	2.0	1.5	1.0	4.0	5.5	5.0	7.0	9.5	12.5	13.5	22.5	69.5	169.0	434.0	776.5	1295.5	1767.5	2741.5	4527.0	6899.5	9096.0	11170.0	13765.5	17482.0	23231.5	29928.0	39654.5	54995.0	76106.5	106324.5	145324.0	191885.0	248152.5	306750.0	363333.0	420001.5	475860.0	522606.5	553761.5	569059.5	568897.5	537463.5	486816.0	432949.5	369988.0	305460.0	243144.5	196243.5	153594.0	108966.5	78272.5	59296.5	43421.0	31298.5	23393.5	17037.5	13432.0	9966.0	6067.0	4128.5	3420.5	2514.0	1860.0	1395.0	787.0	371.0	148.5	75.0	34.5	18.0	14.5	7.5	1.5	2.5	2.0	1.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_119_S19_L003_R2_001	18.0	16.0	19.5	29.5	39.0	48.5	49.5	49.0	58.0	78.0	98.5	98.0	115.0	141.0	161.0	228.0	351.0	533.0	644.5	929.5	1338.5	1980.5	3353.5	4784.0	7021.0	10776.0	16355.0	25582.5	40428.0	60545.0	85926.5	123904.5	172715.0	225479.5	288546.0	354200.0	419103.5	483186.0	535109.0	567021.5	578092.5	579511.5	569129.0	523003.0	453259.0	390083.0	327411.0	260820.5	200622.0	156855.0	122160.0	85705.5	58565.5	42888.0	30561.0	23931.0	19237.5	13781.0	9357.5	5948.5	3959.5	3002.5	2439.0	1956.5	1577.0	1133.0	655.0	367.0	198.5	118.5	84.5	60.0	42.0	30.5	25.0	22.0	19.5	15.5	13.0	8.5	5.0	4.5	3.5	3.5	2.5	2.5	4.0	4.0	2.0	2.5	2.0	1.0	1.5	1.5	2.0	1.5	1.0	1.0	0.5	0.0	0.0
P9503_120_S20_L001_R1_001	3.0	2.0	2.0	2.5	2.5	4.0	3.0	1.5	3.0	5.0	10.0	14.0	21.5	50.0	145.0	412.0	701.5	1225.0	1720.0	2568.5	4202.5	6411.0	8351.0	10284.0	12854.0	16601.5	22590.0	29077.5	38540.5	54144.0	75314.5	105944.0	146117.5	194167.0	253951.0	315577.0	373713.0	432932.0	492270.0	543213.5	577081.5	595391.5	599255.0	569738.5	519653.0	463956.0	398941.5	330188.0	261965.0	213676.0	169127.5	121366.0	87626.0	65892.0	49039.0	36674.5	28164.5	21152.0	17132.5	12743.0	7644.0	4884.5	3854.5	2841.0	2159.5	1574.0	866.0	407.0	147.0	84.0	50.5	27.0	19.5	11.5	3.5	2.5	1.0	0.5	0.5	1.0	1.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_120_S20_L001_R2_001	112.0	96.5	81.5	78.5	67.5	63.0	71.5	79.5	82.5	95.0	120.0	144.5	171.5	185.0	195.5	246.0	371.5	553.0	629.0	902.0	1274.0	1830.0	3235.0	4757.5	7068.0	10650.0	16015.5	25365.0	40247.0	60637.0	86486.5	125496.5	176029.5	230413.0	295837.0	364703.5	433931.0	501239.5	555427.0	591469.0	605138.0	609564.0	601415.5	553065.5	481943.0	417184.5	351382.5	281062.5	216923.0	171299.5	134645.5	95227.0	65751.0	48542.0	34986.0	27334.5	22115.5	16167.5	10973.0	6868.5	4574.0	3625.0	2966.0	2226.0	1775.0	1369.0	813.0	400.5	234.0	144.5	88.0	63.5	46.5	29.0	18.5	16.5	13.5	12.5	13.5	11.5	11.0	9.0	6.5	3.5	3.0	4.0	5.0	4.0	1.5	2.0	2.5	1.5	0.0	0.0	0.5	2.5	2.5	1.0	1.0	0.5	1.5
P9503_120_S20_L002_R1_001	2.0	2.0	2.5	2.5	3.5	6.0	7.5	5.5	6.5	9.0	9.0	12.0	22.0	53.0	130.0	392.0	703.0	1253.5	1738.0	2604.0	4256.0	6473.5	8518.0	10549.0	13014.0	16788.5	22874.0	29542.5	39168.0	54721.5	76130.0	107027.5	147728.5	196229.0	256082.0	318256.5	376471.0	435974.5	496896.0	548518.5	582061.0	600985.5	605875.0	574889.0	524046.0	468768.0	402264.0	332411.0	263622.5	215023.5	170516.0	122991.5	89078.5	67015.5	49998.0	37198.0	28445.0	21363.5	17296.5	12863.0	7635.5	4857.5	3921.5	2932.0	2255.5	1616.0	876.0	420.0	157.0	79.5	39.0	25.5	27.5	17.0	3.0	3.5	2.0	1.0	1.5	1.5	2.0	1.0	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
