Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P9503_121_S21_L002	15953202.0	0.0	15953202.0	1.0	7976601.0	7976601.0	12965951.0	11660848.0	2987251.0	10994566.0	15953202.0	0.0	26843.0	0.0	70668.0	0.0	1791648929.0	900281558.0	891367371.0	1457606249.0	1450513599.0	0.0	0.0	21711623.0	0.01496823	112.0	113.0	112.0	114.0	114.0	114.0	35.5	206.5	68.4	5495577.0	292294.0	2888.0	39665.0	68.9	81.27491271031357	73.09409107964659	18.72508728968642	68.91761290303978	100.0	0.0	0.16826089207671288	0.0
P9503_121_S21_L003	16169600.0	0.0	16169600.0	1.0	8084800.0	8084800.0	13076167.0	11726208.0	3093433.0	11055446.0	16169600.0	0.0	29506.0	0.0	77607.0	0.0	1818396808.0	913195319.0	905201489.0	1471908843.0	1464667375.0	0.0	0.0	22255602.0	0.01519499	112.0	113.0	112.0	114.0	114.0	114.0	35.5	206.4	68.3	5524948.0	295294.0	2969.0	39893.0	68.4	80.86883410845043	72.52008707698397	19.131165891549575	68.37179645754998	100.0	0.0	0.18247823075400751	0.0
P9503_122_MRG_STAT	39324508.0	0.0	39324508.0	1.0	19662254.0	19662254.0	31919513.0	28559666.0	7404995.0	27246022.0	39324508.0	0.0	59328.0	0.0	156192.0	0.0	4426914972.0	2217153941.0	2209761031.0	3596235284.0	3578998030.0	0.0	0.0	53837487.0	0.01504261	112.0	113.0	112.0	114.0	114.0	114.0	35.6	218.5	72.7	13618006.0	589956.0	4543.0	67328.0	69.3	81.16951647557804	72.62561555760595	18.83048352442197	69.285093153613	100.0	0.0	0.15086774893661734	0.0
P9503_122_S22_L001	13005686.0	0.0	13005686.0	1.0	6502843.0	6502843.0	10572663.0	9469910.0	2433023.0	9035656.0	13005686.0	0.0	20130.0	0.0	52599.0	0.0	1464881143.0	733694013.0	731187130.0	1191774157.0	1186071543.0	0.0	0.0	17721814.0	0.01494161	112.0	113.0	112.0	114.0	114.0	114.0	35.7	218.5	72.6	4515969.0	195324.0	1550.0	22112.0	69.5	81.29262078140285	72.81361398391442	18.707379218597158	69.47465900683747	100.0	0.0	0.15477845613064933	0.0
P9503_122_S22_L002	13102556.0	0.0	13102556.0	1.0	6551278.0	6551278.0	10653971.0	9542336.0	2448585.0	9102874.0	13102556.0	0.0	19445.0	0.0	51981.0	0.0	1473805289.0	738247009.0	735558280.0	1199407318.0	1193690162.0	0.0	0.0	17875040.0	0.01497461	112.0	113.0	112.0	114.0	114.0	114.0	35.6	218.5	72.7	4550096.0	196898.0	1499.0	22675.0	69.5	81.31215771945566	72.8280497331971	18.687842280544345	69.47403239490066	100.0	0.0	0.1484061583098748	0.0
P9503_122_S22_L003	13216266.0	0.0	13216266.0	1.0	6608133.0	6608133.0	10692879.0	9547420.0	2523387.0	9107492.0	13216266.0	0.0	19753.0	0.0	51612.0	0.0	1488228540.0	745212919.0	743015621.0	1205053809.0	1199236325.0	0.0	0.0	18240633.0	0.01521021	112.0	113.0	112.0	114.0	114.0	114.0	35.7	218.5	72.7	4551941.0	197734.0	1494.0	22541.0	68.9	80.9069596510845	72.23992011056679	19.093040348915498	68.91123408079105	100.0	0.0	0.1494597642026878	0.0
P9503_123_MRG_STAT	43827970.0	0.0	43827970.0	1.0	21913985.0	21913985.0	35234302.0	31500088.0	8593668.0	29972198.0	43827970.0	0.0	68362.0	0.0	178170.0	0.0	4926654968.0	2475237393.0	2451417575.0	3964382254.0	3945148751.0	0.0	0.0	59758734.0	0.0151474	112.0	113.0	112.0	114.0	114.0	114.0	35.6	215.6	73.1	14980521.0	693897.0	4694.0	70932.0	68.4	80.39227461367706	71.87211271706173	19.607725386322937	68.3860055576382	100.0	0.0	0.1559780204285072	0.0
P9503_123_S23_L001	14534614.0	0.0	14534614.0	1.0	7267307.0	7267307.0	11702292.0	10471714.0	2832322.0	9962122.0	14534614.0	0.0	22096.0	0.0	57885.0	0.0	1634697514.0	821231521.0	813465993.0	1317349813.0	1310977972.0	0.0	0.0	19725248.0	0.01504621	112.0	113.0	112.0	114.0	114.0	114.0	35.6	215.4	73.0	4979094.0	231726.0	1560.0	23477.0	68.5	80.51326302851936	72.04672927674585	19.48673697148063	68.54067125552835	100.0	0.0	0.15202330106599324	0.0
P9503_123_S23_L002	14598588.0	0.0	14598588.0	1.0	7299294.0	7299294.0	11754332.0	10518090.0	2844256.0	10008962.0	14598588.0	0.0	22857.0	0.0	60231.0	0.0	1639525306.0	824008283.0	815517023.0	1321397499.0	1315002819.0	0.0	0.0	19828529.0	0.0150787	112.0	113.0	112.0	114.0	114.0	114.0	35.5	215.6	73.0	5003087.0	230768.0	1583.0	23607.0	68.6	80.51691026556816	72.0486803244259	19.48308973443185	68.56116495650127	100.0	0.0	0.15656993676374728	0.0
P9503_123_S23_L003	14694768.0	0.0	14694768.0	1.0	7347384.0	7347384.0	11777678.0	10510284.0	2917090.0	10001114.0	14694768.0	0.0	23409.0	0.0	60054.0	0.0	1652432148.0	829997589.0	822434559.0	1325634942.0	1319167960.0	0.0	0.0	20204957.0	0.01531644	112.0	113.0	112.0	114.0	114.0	114.0	35.6	215.7	73.2	4998340.0	231403.0	1551.0	23848.0	68.1	80.1487849280778	71.52398731303549	19.851215071922194	68.05901256828281	100.0	0.0	0.15930159632326282	0.0
