Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
P9503_101_S1_L001_R1_001	2.0	2.5	4.0	4.0	7.0	14.0	16.5	23.5	32.0	54.5	74.0	86.0	166.5	284.5	516.5	988.0	1329.0	1704.0	2493.0	3616.5	5380.5	6941.5	8125.5	9630.0	11980.0	15802.5	20597.0	25722.5	32064.0	40461.5	51284.0	67165.5	89988.0	117057.0	151188.0	190636.0	228536.5	268633.0	313714.0	358659.0	395888.5	425355.0	451929.5	463444.5	451377.5	430788.5	394464.0	338853.5	283176.0	229294.0	173527.5	123417.0	86360.0	59085.0	39915.0	28379.0	19512.5	11842.0	7194.0	4861.5	3147.5	2080.5	1480.0	926.0	573.0	441.5	356.5	244.0	161.5	89.5	37.0	13.0	4.0	0.5	0.5	1.0	0.5	0.0	0.5	1.0	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_101_S1_L001_R2_001	77.0	68.0	59.5	57.0	50.0	48.0	52.0	60.0	60.5	72.0	96.5	102.0	119.5	137.0	151.5	184.0	190.0	220.0	288.5	431.0	746.5	1047.0	1363.0	2074.5	3516.0	5177.0	7719.5	12031.5	18775.5	28765.5	43675.5	65577.5	93319.5	127889.5	169010.0	214369.0	263574.0	312656.0	359394.5	407155.0	445163.0	471956.5	488368.0	478521.5	447008.5	411137.5	364325.5	306098.5	248245.0	191373.5	141335.0	101172.0	70005.5	49334.5	35289.0	23145.0	14202.5	8849.0	5830.5	3717.5	2599.5	1814.0	1061.5	648.0	436.5	347.0	267.0	176.5	138.0	93.0	50.0	32.0	16.5	13.0	14.5	11.0	11.0	11.0	7.5	4.5	4.5	7.0	7.5	5.5	3.0	2.5	2.5	3.5	4.0	1.5	0.5	1.0	3.5	3.5	1.5	0.5	0.5	1.0	0.5	0.0	0.5
P9503_101_S1_L002_R1_001	3.0	2.5	3.5	6.5	8.5	12.5	19.5	26.5	37.0	60.0	91.0	110.0	175.5	291.0	554.5	986.5	1284.0	1637.0	2382.5	3483.0	5230.5	6880.0	8278.5	9787.0	11961.0	15764.5	20524.0	25634.5	31991.5	40366.0	51439.5	67430.0	90163.5	116899.5	151142.0	190935.5	228927.0	268807.5	313143.5	358473.5	396488.5	425838.5	451972.0	463330.0	450866.5	430313.5	394103.5	338881.5	283681.0	229716.5	173843.5	123307.0	86380.0	59333.0	40456.0	28800.0	19721.5	12071.5	7167.0	4780.5	3051.5	2067.5	1503.0	894.0	563.0	433.0	362.5	247.5	151.0	78.5	25.0	10.5	2.5	0.5	1.0	0.5	0.0	0.0	0.0	0.0	0.5	0.5	0.5	0.5	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_101_S1_L002_R2_001	9.0	6.0	2.0	3.0	7.0	8.0	8.5	14.5	24.0	28.0	35.5	50.5	65.0	81.0	107.5	129.5	158.0	193.0	257.5	427.5	763.0	1090.0	1364.0	2003.5	3515.5	5223.0	7703.0	11961.5	18604.5	28613.5	43686.5	65536.0	93007.5	127959.0	169146.5	214080.5	263404.0	312555.0	360125.5	408274.5	444934.0	470717.0	487687.0	478582.0	447885.5	412009.5	364788.0	306691.5	247938.5	191927.5	142481.0	101376.5	70223.0	49191.5	35080.5	23292.5	14327.0	8890.0	5812.0	3663.0	2599.0	1790.5	1029.5	660.5	432.5	324.5	237.5	159.5	133.0	103.5	59.0	28.0	15.0	14.5	10.0	7.5	7.5	4.0	5.0	5.5	6.0	6.0	3.5	3.5	4.5	3.5	3.0	2.0	2.0	2.0	1.5	2.0	1.5	0.5	0.5	1.0	1.0	0.5	0.5	1.0	1.0
P9503_101_S1_L003_R1_001	3.0	2.5	3.0	5.0	6.5	10.5	13.5	16.0	26.0	52.5	77.5	102.0	191.0	308.5	549.5	1000.5	1313.5	1683.5	2462.0	3533.5	5311.0	6891.0	8237.0	9915.5	12136.5	16023.0	20938.5	26057.0	32318.0	40925.0	51799.0	67673.5	91126.0	118390.0	152715.0	192420.0	231236.0	271988.0	317506.0	364506.0	402392.5	431748.0	459643.0	471806.0	458884.0	438055.0	400777.5	344134.0	288559.5	233762.0	176980.5	126080.0	88160.0	60539.5	41121.5	29113.0	19964.0	12193.0	7348.5	4864.5	3229.5	2182.5	1544.5	925.0	565.5	430.0	358.0	261.5	163.0	85.5	32.5	11.0	3.5	1.0	1.0	0.5	1.0	1.0	0.0	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5
P9503_101_S1_L003_R2_001	18.0	15.0	12.0	18.0	24.0	30.5	36.5	40.0	44.5	50.5	62.0	65.5	74.0	90.0	111.5	133.5	157.0	209.0	260.5	419.0	744.5	1072.0	1449.5	2066.5	3509.0	5294.5	7801.5	12125.0	18848.0	28955.5	44209.0	66224.5	93983.5	129426.5	171517.0	217064.0	266743.5	316719.0	365458.0	413809.0	451530.0	479469.5	496267.0	486311.0	454574.0	418200.0	370313.5	311429.0	253011.0	195691.5	144835.0	103134.5	71311.0	50182.5	35759.0	23599.5	14507.0	8894.5	5909.0	3835.0	2645.0	1804.5	1059.5	669.0	447.5	314.5	247.0	183.5	131.0	85.0	42.5	23.0	14.5	9.0	9.5	9.5	8.5	5.0	4.0	4.5	4.0	3.5	4.0	4.0	2.0	2.5	3.0	2.5	1.5	0.5	1.0	0.5	0.5	0.5	0.5	1.0	0.5	0.0	0.0	0.5	0.5
P9503_102_S2_L001_R1_001	2.0	2.0	3.0	5.0	5.0	7.0	9.5	16.5	31.5	45.0	66.0	90.0	149.0	262.0	515.5	937.0	1211.0	1622.5	2376.5	3569.5	5489.5	7156.0	8588.5	10271.0	12666.0	16579.0	21619.0	27124.0	33870.0	42956.5	55024.5	72493.5	97769.5	127691.5	165698.0	209630.0	252819.5	298570.5	349224.0	401369.0	445542.0	481029.0	514636.5	531903.5	520570.5	500202.0	461342.5	399577.0	337707.5	275372.5	209935.0	150025.5	105414.5	73045.5	50111.5	35675.5	24233.0	14637.0	8772.5	5948.0	3904.0	2700.5	1906.0	1126.0	716.5	576.0	495.5	345.5	225.5	111.0	39.5	21.5	6.5	4.0	3.5	3.0	2.0	0.5	0.0	0.0	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P9503_102_S2_L001_R2_001	100.0	77.5	66.5	68.0	54.5	55.0	58.5	61.0	71.0	86.5	98.0	113.5	129.0	130.5	144.5	171.5	191.5	223.5	290.0	454.5	817.5	1179.0	1497.5	2168.0	3720.0	5481.5	8184.5	12966.5	20224.5	31063.0	47833.5	72055.0	102290.0	141059.5	187395.0	237672.5	293295.0	349052.5	403244.0	459279.5	503269.5	534802.5	555785.0	547615.0	515461.0	477956.0	425783.0	360206.5	293402.5	228243.5	170532.0	122601.0	85323.5	59902.0	42924.0	28543.0	17746.5	10938.0	7132.5	4572.5	3159.5	2191.0	1324.0	830.5	515.0	384.5	312.0	221.0	195.5	143.5	79.5	45.0	25.5	20.0	18.0	18.5	15.0	10.5	9.0	9.5	11.5	9.0	3.0	5.5	7.5	4.5	3.5	2.5	1.5	3.0	3.0	0.5	1.0	1.0	0.5	0.5	0.5	2.0	1.5	0.5	0.5
P9503_102_S2_L002_R1_001	3.0	2.5	4.0	4.5	6.0	10.5	15.5	20.0	28.0	48.5	71.0	89.0	147.0	278.5	531.5	947.5	1236.5	1613.0	2380.0	3557.5	5429.0	7123.5	8561.0	10251.5	12554.0	16493.0	21671.5	27033.0	33870.5	43287.5	55068.0	72523.5	97888.5	127638.5	165890.5	210062.5	252827.0	298620.0	349135.0	400785.0	445508.0	481815.0	515679.5	532348.5	521857.0	501778.0	461653.0	399684.5	337724.0	275543.0	210263.5	150367.0	105733.5	73211.5	50173.5	35914.5	24564.5	14825.5	8960.0	5926.5	3853.0	2779.5	1979.0	1098.5	706.0	555.0	479.0	353.0	216.0	99.5	38.5	24.0	10.5	2.5	2.5	2.0	1.5	1.0	0.0	1.0	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
