Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
P9503_103_S3_L002	13288558.0	0.0	13288558.0	1.0	6644279.0	6644279.0	13210402.0	13184916.0	78156.0	12656384.0	13288558.0	0.0	3015.0	0.0	1536896.0	0.0	1492825260.0	748855733.0	743969527.0	1484539202.0	1483694811.0	0.0	0.0	1096594.0	0.0007390967	112.0	113.0	112.0	114.0	114.0	114.0	35.5	213.9	67.4	6327083.0	223673.0	1670.0	40032.0	95.2	99.41185492060161	99.2200658641818	0.5881450793983817	95.24271933794472	100.0	0.0	0.022688692031144386	0.0
P9503_103_S3_L003	13512202.0	0.0	13512202.0	1.0	6756101.0	6756101.0	13432630.0	13406350.0	79572.0	12866026.0	13512202.0	0.0	3552.0	0.0	1550467.0	0.0	1519910053.0	762105052.0	757805001.0	1511465195.0	1510547697.0	0.0	0.0	1692511.0	0.001120462	112.0	113.0	112.0	114.0	114.0	114.0	35.6	213.9	67.3	6430889.0	229192.0	1749.0	41345.0	95.2	99.41111004705229	99.21661917132381	0.5888899529477134	95.21783348117502	100.0	0.0	0.02628735124001255	0.0
P9503_104_MRG_STAT	43461638.0	0.0	43461638.0	1.0	21730819.0	21730819.0	43192147.0	43112062.0	269491.0	41138362.0	43461638.0	0.0	10900.0	0.0	4990124.0	0.0	4878579348.0	2450915717.0	2427663631.0	4850162994.0	4847034948.0	0.0	0.0	4432806.0	0.0009145397	112.0	113.0	112.0	114.0	114.0	114.0	35.4	209.1	68.4	20565848.0	884947.0	3869.0	101367.0	94.7	99.37993363250598	99.19566768284251	0.6200663674940184	94.65442144633388	100.0	0.0	0.02507958857878297	0.0
P9503_104_S4_L001	14375330.0	0.0	14375330.0	1.0	7187665.0	7187665.0	14286488.0	14260080.0	88842.0	13604226.0	14375330.0	0.0	3348.0	0.0	1647765.0	0.0	1614528259.0	811074162.0	803454097.0	1605143138.0	1604123271.0	0.0	0.0	1223772.0	0.0007628915	112.0	113.0	112.0	114.0	114.0	114.0	35.5	209.0	68.3	6800738.0	294320.0	1266.0	33716.0	94.6	99.38198288317555	99.19827927428449	0.6180171168244485	94.63592140145653	100.0	0.0	0.023289900127510116	0.0
P9503_104_S4_L002	14427656.0	0.0	14427656.0	1.0	7213828.0	7213828.0	14338326.0	14311982.0	89330.0	13659314.0	14427656.0	0.0	3487.0	0.0	1668326.0	0.0	1617844387.0	813070514.0	804773873.0	1608443982.0	1607429824.0	0.0	0.0	1286158.0	0.0008001332	112.0	113.0	112.0	114.0	114.0	114.0	35.4	209.2	68.5	6829380.0	291831.0	1275.0	33505.0	94.7	99.38084190529632	99.19824814231778	0.6191580947036719	94.67451954773527	100.0	0.0	0.024168860139166057	0.0
P9503_104_S4_L003	14658652.0	0.0	14658652.0	1.0	7329326.0	7329326.0	14567333.0	14540000.0	91319.0	13874822.0	14658652.0	0.0	4065.0	0.0	1674033.0	0.0	1646206702.0	826771041.0	819435661.0	1636575874.0	1635481853.0	0.0	0.0	1922876.0	0.001175724	112.0	113.0	112.0	114.0	114.0	114.0	35.5	209.2	68.4	6935730.0	298796.0	1328.0	34146.0	94.7	99.37703002977354	99.19056677244265	0.6229699702264574	94.6527825341648	100.0	0.0	0.02773106285625718	0.0
P9503_105_MRG_STAT	38255604.0	0.0	38255604.0	1.0	19127802.0	19127802.0	37963212.0	37850022.0	292392.0	35914186.0	38255604.0	0.0	11484.0	0.0	4363497.0	0.0	4294953246.0	2157011303.0	2137941943.0	4264089968.0	4260852412.0	0.0	0.0	4224461.0	0.0009914591	112.0	113.0	112.0	114.0	114.0	114.0	35.4	211.9	68.4	17955791.0	779307.0	7699.0	182214.0	93.9	99.2356884497236	98.93981023015608	0.7643115502763987	93.87954245866827	100.0	0.0	0.03001913131472189	0.0
P9503_105_S5_L001	12673332.0	0.0	12673332.0	1.0	6336666.0	6336666.0	12576649.0	12539548.0	96683.0	11898430.0	12673332.0	0.0	3589.0	0.0	1460269.0	0.0	1423602959.0	714953325.0	708649634.0	1413376537.0	1412321868.0	0.0	0.0	1193768.0	0.0008452521	112.0	113.0	112.0	114.0	114.0	114.0	35.5	211.9	68.4	5948288.0	259056.0	2458.0	59972.0	93.9	99.23711459622457	98.94436601203219	0.7628854037754239	93.88557010895003	100.0	0.0	0.02831930860802826	0.0
P9503_105_S5_L002	12685092.0	0.0	12685092.0	1.0	6342546.0	6342546.0	12588209.0	12550554.0	96883.0	11908636.0	12685092.0	0.0	3643.0	0.0	1451515.0	0.0	1422750225.0	714753338.0	707996887.0	1412543455.0	1411486634.0	0.0	0.0	1233290.0	0.0008737525	112.0	113.0	112.0	114.0	114.0	114.0	35.4	212.0	68.5	5954673.0	257212.0	2666.0	60726.0	93.9	99.23624519238804	98.93940067600613	0.763754807611959	93.87898802783614	100.0	0.0	0.02871875111351183	0.0
P9503_105_S5_L003	12897180.0	0.0	12897180.0	1.0	6448590.0	6448590.0	12798354.0	12759920.0	98826.0	12107120.0	12897180.0	0.0	4252.0	0.0	1451713.0	0.0	1448600062.0	727304640.0	721295422.0	1438169976.0	1437043910.0	0.0	0.0	1797403.0	0.001250764	112.0	113.0	112.0	114.0	114.0	114.0	35.5	211.9	68.4	6052830.0	263039.0	2575.0	61516.0	93.9	99.23373946862803	98.93573633926177	0.7662605313719744	93.87416473988888	100.0	0.0	0.03296844736601335	0.0
