"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015075","ion transmembrane transporter activity","14/98","250/5104",0.0002574116471011,0.00325441868120676,0.00253540795264993,"PHO89/UGA4/AVT4/AVT1/PUT4/ANT1/ENA1/GAP1/DAL4/MEP2/DAL5/DUR3/SFC1/MEP3",14
"GO:0042887","amide transmembrane transporter activity","4/98","19/5104",0.000397004331210415,0.0046846511082829,0.00364965385182908,"OPT1/DAL4/DAL5/DUR3",4
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","4/98","20/5104",0.000488990566681952,0.00540945814391909,0.00421432659442998,"UGA2/PUT2/ALD4/ALD2",4
"GO:0030170","pyridoxal phosphate binding","5/98","36/5104",0.000553932258894486,0.00544700054579578,0.00424357461492267,"GCV2/ARO8/CAR2/ALT2/UGA1",5
"GO:0070279","vitamin B6 binding","5/98","36/5104",0.000553932258894486,0.00544700054579578,0.00424357461492267,"GCV2/ARO8/CAR2/ALT2/UGA1",5
"GO:0015203","polyamine transmembrane transporter activity","3/98","10/5104",0.000746988218699945,0.00695878498473106,0.00542135493904115,"UGA4/GAP1/DUR3",3
"GO:0015179","L-amino acid transmembrane transporter activity","4/98","23/5104",0.000855067571842212,0.00756734801080358,0.00589546589006999,"AVT4/AVT1/PUT4/GAP1",4
"GO:0046914","transition metal ion binding","12/98","223/5104",0.00104430581240624,0.00880200613313832,0.00685734643735427,"CCS1/PPR1/THI4/TBS1/SDD4/GAT1/BNA1/CAR1/ADH7/RGT1/GLT1/APE2",12
"GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","4/98","25/5104",0.00118610261079117,0.00933596162700114,0.00727333317357805,"UGA2/PUT2/ALD4/ALD2",4
"GO:0008324","cation transmembrane transporter activity","11/98","196/5104",0.001213147556051,0.00933596162700114,0.00727333317357805,"PHO89/UGA4/AVT4/AVT1/PUT4/ENA1/GAP1/DAL4/MEP2/DUR3/MEP3",11
"GO:0016811","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","5/98","43/5104",0.00127201145304038,0.0093810844661728,0.00730848685738113,"CDA2/ASP3-4/SNZ1/DUR1,2/SNO1",5
"GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","4/98","27/5104",0.00159787210101049,0.0113129344751543,0.00881352611504735,"SHH3/SDH2/SDH4/SDH1",4
"GO:0050660","flavin adenine dinucleotide binding","4/98","31/5104",0.00270146507715455,0.0183907430252444,0.0143276083039371,"PUT1/DLD1/GLT1/SDH1",4
"GO:0015291","secondary active transmembrane transporter activity","6/98","82/5104",0.00464292375105967,0.0304369445902801,0.0237123981048272,"PHO89/UGA4/ESBP6/OPT1/DAL4/SFC1",6
"GO:0015293","symporter activity","4/98","40/5104",0.00687879637816754,0.0434838199619877,0.0338767791556371,"PHO89/UGA4/ESBP6/DAL4",4
"GO:0005506","iron ion binding","3/98","24/5104",0.0103696411208946,0.0632905682206325,0.049307549431477,"THI4/BNA1/GLT1",3
"GO:0003700","DNA-binding transcription factor activity","8/98","166/5104",0.0138684718659913,0.0796708336822655,0.0620688623989104,"PPR1/MSN4/TBS1/SDD4/GAT1/KAR4/RGT1/MET4",8
"GO:0005310","dicarboxylic acid transmembrane transporter activity","2/98","10/5104",0.0148538842458461,0.0796708336822655,0.0620688623989104,"DIP5/SFC1",2
"GO:0031406","carboxylic acid binding","2/98","10/5104",0.0148538842458461,0.0796708336822655,0.0620688623989104,"PYC1/GCV2",2
"GO:1904680","peptide transmembrane transporter activity","2/98","10/5104",0.0148538842458461,0.0796708336822655,0.0620688623989104,"OPT1/DAL5",2
"GO:0008270","zinc ion binding","8/98","172/5104",0.0168796984370612,0.0878737242164656,0.0684594580574309,"PPR1/TBS1/SDD4/GAT1/CAR1/ADH7/RGT1/APE2",8
"GO:0015101","organic cation transmembrane transporter activity","2/98","11/5104",0.0179296712869697,0.0881542171609345,0.068677980660615,"UGA4/DUR3",2
"GO:0043177","organic acid binding","2/98","11/5104",0.0179296712869697,0.0881542171609345,0.068677980660615,"PYC1/GCV2",2
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0005887","integral component of plasma membrane","7/99","58/5142",0.000106671078280338,0.00740066904317554,0.00723866091787081,"PHO89/FLR1/STE2/OPT1/GAP1/MEP2/MEP3",7
"GO:1990204","oxidoreductase complex","6/99","42/5142",0.000130985292799567,0.00740066904317554,0.00723866091787081,"GCV2/SHH3/SDH2/SDH4/GCV1/SDH1",6
"GO:0031226","intrinsic component of plasma membrane","7/99","65/5142",0.000221267017961727,0.00833439100989172,0.008151942767011,"PHO89/FLR1/STE2/OPT1/GAP1/MEP2/MEP3",7
"GO:0098803","respiratory chain complex","4/99","32/5142",0.00307386562376527,0.0868367038713688,0.0849357606566718,"SHH3/SDH2/SDH4/SDH1",4
"GO:0005746","mitochondrial respirasome","4/99","34/5142",0.00384946114638561,0.0869978219083149,0.0850933516569451,"SHH3/SDH2/SDH4/SDH1",4
