"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006082","organic acid metabolic process","17/67","343/4568",5.38432717630694e-06,9.95023662181522e-05,7.93479794403127e-05,"YAT1/CHA1/CIT2/DLD3/FAA3/SDL1/DAL80/ARO10/BNA2/BAT2/IDH1/DUG3/MET2/IDH2/GDH1/PDH1/ICL2",17
"GO:0055085","transmembrane transport","17/67","357/4568",9.25382989688606e-06,0.000164433438936975,0.000131127144287859,"SEO1/AGP1/SIT1/FTR1/ARN1/ARN2/VBA5/GEX2/HXT10/CCC2/MMP1/THI73/SUL2/FET3/MEP2/ENB1/DIP5",17
"GO:0019752","carboxylic acid metabolic process","16/67","321/4568",1.01157949063172e-05,0.000173092490619205,0.00013803228917002,"YAT1/CHA1/CIT2/DLD3/FAA3/SDL1/ARO10/BNA2/BAT2/IDH1/DUG3/MET2/IDH2/GDH1/PDH1/ICL2",16
"GO:0098662","inorganic cation transmembrane transport","10/67","126/4568",1.16614290554743e-05,0.000192413579415326,0.000153439855993083,"SIT1/FTR1/ARN1/ARN2/GEX2/HXT10/CCC2/FET3/MEP2/ENB1",10
"GO:0098655","cation transmembrane transport","11/67","158/4568",1.44005405875577e-05,0.000229415508670747,0.000182946976611441,"AGP1/SIT1/FTR1/ARN1/ARN2/GEX2/HXT10/CCC2/FET3/MEP2/ENB1",11
"GO:0034220","ion transmembrane transport","12/67","194/4568",1.87986502054791e-05,0.000289499213164379,0.000230860616558516,"AGP1/SIT1/FTR1/ARN1/ARN2/GEX2/HXT10/CCC2/SUL2/FET3/MEP2/ENB1",12
"GO:1901605","alpha-amino acid metabolic process","10/67","146/4568",4.25017366550198e-05,0.000633412978536101,0.000505114017971373,"CHA1/SDL1/ARO10/BNA2/BAT2/IDH1/DUG3/MET2/IDH2/GDH1",10
"GO:0065008","regulation of biological quality","16/67","393/4568",0.000123417394198817,0.00178183862874542,0.00142092394636796,"SIT1/FTR1/ARN1/ARN2/GEX2/CCC2/FIT1/TIS11/HMX1/FRE1/FET3/ENB1/ISU2/FRE5/ISU1/LSO1",16
"GO:0006820","anion transport","8/67","117/4568",0.000269027722287353,0.00376638811202294,0.00300349929188433,"SEO1/AGP1/FTR1/GEX2/SUL2/FET3/ENB1/DIP5",8
"GO:0006790","sulfur compound metabolic process","8/67","118/4568",0.00028526327894891,0.00387622455512931,0.00309108816198509,"FAA3/ARO10/BAT2/GTO3/DUG3/MET2/ISU2/ISU1",8
"GO:0006536","glutamate metabolic process","3/67","10/4568",0.000336308293665566,0.00443926947638547,0.0035400873017428,"IDH1/IDH2/GDH1",3
"GO:0006520","cellular amino acid metabolic process","10/67","205/4568",0.000700241018660099,0.00898642640613793,0.00716620925529341,"CHA1/SDL1/ARO10/BNA2/BAT2/IDH1/DUG3/MET2/IDH2/GDH1",10
"GO:0061984","catabolite repression","3/67","15/4568",0.00120983745311615,0.01510661900918,0.0120467456213557,"MIG3/DAL80/MIG2",3
"GO:0006825","copper ion transport","3/67","17/4568",0.00177054196530057,0.0209741125120222,0.0167257675534467,"CCC2/FRE1/FRE5",3
"GO:0072348","sulfur compound transport","3/67","17/4568",0.00177054196530057,0.0209741125120222,0.0167257675534467,"GEX2/MMP1/SUL2",3
"GO:0006099","tricarboxylic acid cycle","3/67","18/4568",0.00210248160166114,0.0242836624991861,0.0193649621205631,"CIT2/IDH1/IDH2",3
"GO:0098656","anion transmembrane transport","5/67","64/4568",0.0022811596137117,0.0257047741837757,0.0204982250269344,"AGP1/FTR1/GEX2/SUL2/FET3",5
"GO:1901607","alpha-amino acid biosynthetic process","6/67","101/4568",0.00337643487603258,0.0371407836363584,0.0296178497897595,"CHA1/BAT2/IDH1/MET2/IDH2/GDH1",6
"GO:0046395","carboxylic acid catabolic process","5/67","71/4568",0.00360001519552328,0.0386792330309711,0.030844683437776,"CHA1/ARO10/BNA2/BAT2/ICL2",5
"GO:0016054","organic acid catabolic process","5/67","72/4568",0.00382537238089284,0.0393413318783934,0.0313726729492771,"CHA1/ARO10/BNA2/BAT2/ICL2",5
"GO:0009063","cellular amino acid catabolic process","4/67","45/4568",0.00400893410076601,0.0393413318783934,0.0313726729492771,"CHA1/ARO10/BNA2/BAT2",4
"GO:0098657","import into cell","4/67","45/4568",0.00400893410076601,0.0393413318783934,0.0313726729492771,"AGP1/HXT10/FET3/ENB1",4
"GO:0009081","branched-chain amino acid metabolic process","3/67","23/4568",0.00433035600570643,0.0393413318783934,0.0313726729492771,"CHA1/ARO10/BAT2",3
"GO:0009084","glutamine family amino acid biosynthetic process","3/67","23/4568",0.00433035600570643,0.0393413318783934,0.0313726729492771,"IDH1/IDH2/GDH1",3
"GO:0097237","cellular response to toxic substance","3/67","23/4568",0.00433035600570643,0.0393413318783934,0.0313726729492771,"GPX2/SRX1/DAK2",3
"GO:0006631","fatty acid metabolic process","4/67","46/4568",0.00434287429826421,0.0393413318783934,0.0313726729492771,"YAT1/FAA3/PDH1/ICL2",4
