"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006811","ion transport","21/115","287/4568",6.67069061136117e-06,0.000203601078659806,0.000181345090304281,"SIT1/FTR1/ARN1/ARN2/GAP1/HXT10/ZRT1/VHT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ATX1/FRE7/ENB1/FIT2/FRE5/DIP5/MEP3",21
"GO:0022604","regulation of cell morphogenesis","6/115","22/4568",1.1994747698262e-05,0.000350846370174162,0.000312494742665246,"FIG2/GIC1/GIC2/RAX2/SMK1/OPT2",6
"GO:0098662","inorganic cation transmembrane transport","13/115","126/4568",1.28974519995052e-05,0.000362160452146105,0.000322572062640255,"SIT1/FTR1/ARN1/ARN2/HXT10/ZRT1/PRM6/PHO84/FET3/FET4/MEP2/ENB1/MEP3",13
"GO:1901678","iron coordination entity transport","5/115","14/4568",1.54816032871317e-05,0.000418003288752556,0.000372310621560981,"SIT1/ARN1/ARN2/ENB1/FIT2",5
"GO:0046916","cellular transition metal ion homeostasis","10/115","77/4568",1.83394887363077e-05,0.000476826707144001,0.000424703949682916,"SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE5",10
"GO:0055085","transmembrane transport","23/115","357/4568",1.91282902779938e-05,0.000479573563398274,0.000427150542298057,"SIT1/FTR1/VMR1/ARN1/ARN2/GAP1/HXT10/ITR1/ZRT1/VHT1/AQY2/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ALP1/BIO5/ENB1/DIP5/MEP3/OPT2",23
"GO:0000272","polysaccharide catabolic process","5/115","15/4568",2.27576100995953e-05,0.000550891113445376,0.000490672246793452,"SIM1/UTH1/EXG2/CTS1/SUN4",5
"GO:0031505","fungal-type cell wall organization","15/115","176/4568",2.76711070545075e-05,0.000647503905075475,0.000576724125978156,"TIP1/ECM33/SSP1/SIM1/UTH1/CWP2/EXG2/CIS3/CCW12/SPO77/PAU4/GAS1/SUN4/WSC2/SMK1",15
"GO:0098771","inorganic ion homeostasis","13/115","136/4568",2.95638605207003e-05,0.000655764703760915,0.000584081922378143,"SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5",13
"GO:0050801","ion homeostasis","14/115","157/4568",3.15579964868833e-05,0.000655764703760915,0.000584081922378143,"FYV5/SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5",14
"GO:0098655","cation transmembrane transport","14/115","158/4568",3.39002425308121e-05,0.000655764703760915,0.000584081922378143,"SIT1/FTR1/ARN1/ARN2/HXT10/ZRT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ENB1/MEP3",14
"GO:0000750","pheromone-dependent signal transduction involved in conjugation with cellular fusion","6/115","26/4568",3.40846359317263e-05,0.000655764703760915,0.000584081922378143,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",6
"GO:0031139","positive regulation of conjugation with cellular fusion","6/115","26/4568",3.40846359317263e-05,0.000655764703760915,0.000584081922378143,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",6
"GO:0032005","signal transduction involved in positive regulation of conjugation with cellular fusion","6/115","26/4568",3.40846359317263e-05,0.000655764703760915,0.000584081922378143,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",6
"GO:0098660","inorganic ion transmembrane transport","13/115","138/4568",3.45630969218716e-05,0.000655764703760915,0.000584081922378143,"SIT1/FTR1/ARN1/ARN2/HXT10/ZRT1/PRM6/PHO84/FET3/FET4/MEP2/ENB1/MEP3",13
"GO:0022603","regulation of anatomical structure morphogenesis","6/115","27/4568",4.29303652699693e-05,0.000772746574859447,0.000688276301494244,"FIG2/GIC1/GIC2/RAX2/SMK1/OPT2",6
"GO:0031137","regulation of conjugation with cellular fusion","6/115","27/4568",4.29303652699693e-05,0.000772746574859447,0.000688276301494244,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/MF(ALPHA)1",6
"GO:0055080","cation homeostasis","13/115","142/4568",4.68221475201e-05,0.000821728688977755,0.000731904095445773,"SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5",13
"GO:0006875","cellular metal ion homeostasis","10/115","96/4568",0.000126158494391411,0.00216007958689685,0.00192395752679072,"SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE5",10
"GO:0008360","regulation of cell shape","5/115","21/4568",0.000136619150672529,0.0022834915183837,0.00203387908520006,"FIG2/GIC1/GIC2/RAX2/SMK1",5
"GO:0071852","fungal-type cell wall organization or biogenesis","15/115","203/4568",0.000144475243057536,0.00235864234014862,0.00210081503980849,"TIP1/ECM33/SSP1/SIM1/UTH1/CWP2/EXG2/CIS3/CCW12/SPO77/PAU4/GAS1/SUN4/WSC2/SMK1",15
"GO:0034220","ion transmembrane transport","14/115","194/4568",0.00031304749955189,0.00489831469032218,0.00436287138409263,"SIT1/FTR1/ARN1/ARN2/HXT10/ZRT1/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ENB1/MEP3",14
"GO:0000753","cell morphogenesis involved in conjugation with cellular fusion","4/115","14/4568",0.000313994531430909,0.00489831469032218,0.00436287138409263,"FIG1/FUS1/FIG2/FUS2",4
"GO:0030447","filamentous growth","10/115","109/4568",0.000362249399854425,0.00552824084125665,0.00492393921083589,"FUS3/FIG2/DSE1/STE12/DSE2/PHD1/ITR1/GAS1/MEP2/HMS1",10
"GO:0070783","growth of unicellular organism as a thread of attached cells","9/115","91/4568",0.000412189214619729,0.00615652826942659,0.00548354744645283,"FUS3/FIG2/DSE1/STE12/DSE2/PHD1/ITR1/MEP2/HMS1",9
"GO:0048878","chemical homeostasis","14/115","200/4568",0.000428443078444536,0.00626598002225133,0.00558103483763277,"FYV5/SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5",14
"GO:0042592","homeostatic process","15/115","227/4568",0.000491498000660431,0.00704146115231882,0.0062717467753447,"FYV5/SIT1/FTR1/ARN1/ARN2/TIS11/HMX1/FET3/FET4/ATX1/FRE7/ENB1/FIT2/FRE5/OPT2",15
"GO:0044182","filamentous growth of a population of unicellular organisms","9/115","94/4568",0.000525165673371008,0.00737332605412895,0.00656733494699745,"FUS3/FIG2/DSE1/STE12/DSE2/PHD1/ITR1/MEP2/HMS1",9
"GO:0022414","reproductive process","21/115","390/4568",0.000592085781938379,0.00814988664550475,0.00725900834822285,"FUS3/FIG1/FUS1/KAR4/FIG2/DSE1/SSP1/STE3/MF(ALPHA)2/CLB1/SAG1/CCW12/SPO77/FUS2/PRM1/AGA1/NDJ1/SPO19/MF(ALPHA)1/PRM3/SMK1",21
"GO:0006825","copper ion transport","4/115","17/4568",0.000704133345616719,0.00932644544571579,0.00830695545772257,"FET4/ATX1/FRE7/FRE5",4
"GO:0007155","cell adhesion","4/115","17/4568",0.000704133345616719,0.00932644544571579,0.00830695545772257,"FIG2/SAG1/CCW12/AGA1",4
"GO:0051301","cell division","17/115","289/4568",0.000785946734845296,0.0102173075529888,0.00910043587715606,"FUS3/AMN1/DSE1/DSE2/SKG6/SSP1/UTH1/PCL2/BUD9/CLB1/FAR1/RAX2/CTS1/SUN4/NIS1/EGT2/DSE4",17
"GO:0040007","growth","11/115","143/4568",0.000838795308020569,0.0107060782950989,0.00953577823854963,"FUS3/FIG2/DSE1/STE12/DSE2/PHD1/ITR1/GAS1/MEP2/HMS1/OPT2",11
"GO:0006873","cellular ion homeostasis","11/115","145/4568",0.000941971002402931,0.011808279351551,0.0105174957787094,"FYV5/SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE5",11
"GO:0022413","reproductive process in single-celled organism","10/115","130/4568",0.00145269512618358,0.0178910873435241,0.0159353814395761,"FIG1/FUS1/FIG2/SSP1/STE3/SPO77/FUS2/PRM1/SPO19/SMK1",10
"GO:0030003","cellular cation homeostasis","10/115","132/4568",0.0016313470112004,0.0191813866561826,0.0170846358880979,"SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE5",10
"GO:0015677","copper ion import","3/115","10/4568",0.00163943475693868,0.0191813866561826,0.0170846358880979,"FET4/FRE7/FRE5",3
"GO:0098609","cell-cell adhesion","3/115","10/4568",0.00163943475693868,0.0191813866561826,0.0170846358880979,"SAG1/CCW12/AGA1",3
"GO:0032505","reproduction of a single-celled organism","12/115","181/4568",0.0018011082553786,0.020727508119275,0.0184617481224312,"FIG1/FUS1/FIG2/SSP1/STE3/RAX2/SPO77/FUS2/NIS1/PRM1/SPO19/SMK1",12
"GO:0071310","cellular response to organic substance","11/115","162/4568",0.00232009689196975,0.0262694841639156,0.0233979211176576,"FUS3/FYV5/DSE1/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/AGA1/MF(ALPHA)1",11
"GO:0005976","polysaccharide metabolic process","6/115","58/4568",0.00311138030953937,0.0346696663062959,0.0308798647262554,"SIM1/UTH1/EXG2/CTS1/GAS1/SUN4",6
"GO:0016049","cell growth","7/115","78/4568",0.00322383213621451,0.0349214775037757,0.031104150003363,"STE12/DSE2/PHD1/ITR1/MEP2/HMS1/OPT2",7
"GO:0055082","cellular chemical homeostasis","11/115","169/4568",0.00323347013923849,0.0349214775037757,0.031104150003363,"FYV5/SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE5",11
"GO:0009653","anatomical structure morphogenesis","12/115","195/4568",0.00336317366387795,0.0352380285379451,0.0313860982929066,"FIG1/FUS1/FIG2/GIC1/SSP1/GIC2/RAX2/SPO77/FUS2/SPO19/SMK1/OPT2",12
"GO:0048856","anatomical structure development","12/115","195/4568",0.00336317366387795,0.0352380285379451,0.0313860982929066,"FIG1/FUS1/FIG2/GIC1/SSP1/GIC2/RAX2/SPO77/FUS2/SPO19/SMK1/OPT2",12
"GO:0019725","cellular homeostasis","12/115","197/4568",0.00365653627863648,0.0377483598176883,0.0336220208902487,"FYV5/SIT1/ARN1/ARN2/TIS11/HMX1/FET3/ATX1/FRE7/ENB1/FRE5/OPT2",12
"GO:0032502","developmental process","13/115","224/4568",0.00379929774520061,0.0386537248859541,0.0344284189267607,"FIG1/FUS1/FIG2/GIC1/SSP1/GIC2/RAX2/SPO77/FUS2/GAS1/SPO19/SMK1/OPT2",13
"GO:0098657","import into cell","5/115","45/4568",0.00507019824630528,0.0508468452700901,0.0452886880948171,"HXT10/ZRT1/FET3/FRE7/ENB1",5
"GO:0010927","cellular component assembly involved in morphogenesis","6/115","65/4568",0.00550675660246281,0.0544470864074492,0.0484953806058252,"FUS1/SSP1/SPO77/FUS2/SPO19/SMK1",6
"GO:0000742","karyogamy involved in conjugation with cellular fusion","3/115","15/4568",0.00567020083299333,0.055284458121685,0.0492412177602052,"KAR4/FUS2/PRM3",3
"GO:0010033","response to organic substance","13/115","236/4568",0.00591114728054351,0.0555576226229393,0.049484522174278,"FUS3/FYV5/FIG2/DSE1/STE12/STE3/MF(ALPHA)2/FAR1/SAG1/AFB1/CCW12/AGA1/MF(ALPHA)1",13
"GO:0007124","pseudohyphal growth","6/115","66/4568",0.00593564344262172,0.0555576226229393,0.049484522174278,"STE12/DSE2/PHD1/ITR1/MEP2/HMS1",6
"GO:2000241","regulation of reproductive process","6/115","66/4568",0.00593564344262172,0.0555576226229393,0.049484522174278,"FUS1/DSE1/CLB1/SPO77/FUS2/NDJ1",6
"GO:0032120","ascospore-type prospore membrane formation","3/115","16/4568",0.00685200442994745,0.0617933068270079,0.0550385728823552,"SSP1/SPO77/SPO19",3
"GO:0051703","biological process involved in intraspecies interaction between organisms","3/115","16/4568",0.00685200442994745,0.0617933068270079,0.0550385728823552,"SAG1/CCW12/AGA1",3
"GO:0032989","cellular component morphogenesis","6/115","68/4568",0.00686592298077865,0.0617933068270079,0.0550385728823552,"FUS1/SSP1/SPO77/FUS2/SPO19/SMK1",6
"GO:0044091","membrane biogenesis","3/115","17/4568",0.00816940537658974,0.071686532179575,0.0638503525486093,"SSP1/SPO77/SPO19",3
"GO:0071709","membrane assembly","3/115","17/4568",0.00816940537658974,0.071686532179575,0.0638503525486093,"SSP1/SPO77/SPO19",3
"GO:0007266","Rho protein signal transduction","3/115","18/4568",0.0096257157499358,0.0826066202670429,0.0735767467965565,"GIC1/GIC2/WSC2",3
"GO:0015849","organic acid transport","6/115","73/4568",0.00964920635597937,0.0826066202670429,0.0735767467965565,"PRY2/GAP1/VHT1/PRY3/ALP1/DIP5",6
NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0016798","hydrolase activity, acting on glycosyl bonds","11/112","47/4540",1.03883191913098e-08,1.52708292112253e-06,1.290338594289e-06,"DSE2/SIM1/UTH1/EXG2/SCW11/SCW4/CTS1/SCW10/SUN4/EGT2/DSE4",11
"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","9/112","37/4540",1.71067148393936e-07,1.25734354069543e-05,1.0624170268676e-05,"DSE2/EXG2/SCW11/SCW4/CTS1/SCW10/SUN4/EGT2/DSE4",9
"GO:0015926","glucosidase activity","7/112","24/4540",1.12796068349101e-06,5.52700734910596e-05,4.67015300533121e-05,"DSE2/EXG2/SCW11/SCW4/SCW10/SUN4/DSE4",7
"GO:0022857","transmembrane transporter activity","23/112","318/4540",1.87299709840479e-06,5.61206440061929e-05,4.74202362529951e-05,"SIT1/FTR1/VMR1/ARN1/ARN2/GAP1/HXT10/ITR1/ZRT1/VHT1/AQY2/PRM6/PHO84/FET3/RSN1/FET4/MEP2/ALP1/BIO5/ENB1/DIP5/MEP3/OPT2",23
