Date	ExpNo	File.Name	Well.Number	Organism	ChemA	ChemB	concA	concB	Lag.Phase	Obs.L	Pred.L	Diff.L	Growth.Rate	Obs.G	Pred.G	Diff.G	Yield	Obs.Y	Pred.Y	Diff.Y	Yield25h	Obs.Y25	Pred.Y25	Diff.Y25
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	103	D. hansenii	Salt	Clotrimazole	1200	0.05	11.68362407	7.064223664	6.824041483	0.240182181	0.071656517	22.25010318	16.99051191	5.259591268	2.912807353	31.41665622	24.66280206	6.753854152	1.848089	44.77998433	45.70080946	-0.920825131
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	102	D. hansenii	Salt	Clotrimazole	1300	0.05	11.72614598	7.126637332	6.959565963	0.167071369	0.067634082	26.61458969	24.64611968	1.968470007	2.846157625	32.98595367	30.55482997	2.431123708	1.781652	46.87631993	51.62482097	-4.748501042
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	101	D. hansenii	Salt	Clotrimazole	1400	0.05	11.4951096	6.787522134	8.905228209	-2.117706075	0.057554206	37.55161779	32.77901095	4.772606838	2.860284135	32.65333873	33.11974229	-0.466403562	1.751678	47.82211163	53.03739061	-5.215278973
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	118	D. hansenii	Salt	Clotrimazole	300	0.15	10.56440574	5.421435011	6.262724029	-0.841289018	0.083092167	9.842011672	29.74314213	-19.90113045	3.763963424	11.37580821	6.069669395	5.306138818	2.106613	36.62258611	47.2758326	-10.65324648
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	117	D. hansenii	Salt	Clotrimazole	500	0.15	10.45218388	5.256715769	6.43476499	-1.178049221	0.073919328	19.79487221	36.1208136	-16.32594139	3.466628373	18.37669415	10.27419862	8.102495522	1.972955	40.83999545	52.77743013	-11.93743468
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	116	D. hansenii	Salt	Clotrimazole	650	0.15	10.13632673	4.793100642	6.825272653	-2.032172011	0.069973975	24.07572241	41.2260654	-17.15034299	3.315213718	21.9418195	13.72741951	8.214399986	1.842668	44.95103714	57.42412381	-12.47308667
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	115	D. hansenii	Salt	Clotrimazole	800	0.15	9.745640286	4.219651079	7.510264083	-3.290613004	0.067070682	27.22589897	44.97004903	-17.74415005	3.013036728	29.05671103	20.09360318	8.963107846	1.776523	47.03815905	61.42011421	-14.38195517
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	114	D. hansenii	Salt	Clotrimazole	1000	0.15	10.36960532	5.135506948	8.558408719	-3.422901771	0.059673622	35.25197558	48.1317904	-12.87981482	2.66747582	37.19309621	25.52245726	11.67063895	1.588998	52.95527352	64.71481989	-11.75954638
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	113	D. hansenii	Salt	Clotrimazole	1200	0.15	13.41528953	9.605962225	11.61748905	-2.011526821	0.064930889	29.54765098	41.91572674	-12.36807577	2.504923306	41.02046738	31.12402806	9.896439324	1.379652	59.56092207	66.19851819	-6.637596116
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	112	D. hansenii	Salt	Clotrimazole	1300	0.15	11.8293818	7.278166866	11.74604145	-4.467874588	0.055809713	39.44445514	47.27258924	-7.828134099	2.23384849	47.40304442	36.51073157	10.89231286	1.315505	61.58499962	69.88624107	-8.301241452
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	111	D. hansenii	Salt	Clotrimazole	1400	0.15	13.80331399	10.17550453	13.59160889	-3.416104363	0.058863281	36.13122478	52.96342158	-16.83219679	2.15639627	49.22669137	38.85566653	10.37102484	1.285711	62.52511165	70.7655718	-8.240460151
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	128	D. hansenii	Salt	Clotrimazole	300	0.3	15.10666758	12.08856692	30.83090094	-18.74233402	0.04469131	51.50832233	56.73348216	-5.225159834	2.787850454	34.35882193	46.35903603	-12.00021411	0.9706448	72.46662755	91.69482982	-19.22820226
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	127	D. hansenii	Salt	Clotrimazole	500	0.3	12.80196948	8.705731052	30.95785064	-22.25211958	0.0545622	40.79805164	60.6610651	-19.86301346	2.83238335	33.31027512	48.76012415	-15.44984903	1.214944	64.75807493	92.56144765	-27.80337272
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	126	D. hansenii	Salt	Clotrimazole	650	0.3	13.65729343	9.961175548	31.24600775	-21.28483221	0.057449558	37.66516412	63.80504954	-26.13988542	2.514901452	40.78552751	50.73216126	-9.946633745	1.198581	65.27438872	93.29340007	-28.01901135
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	125	D. hansenii	Salt	Clotrimazole	800	0.3	13.31875732	9.464272244	31.75146558	-22.28719334	0.057749401	37.33982391	66.11071962	-28.77089571	2.558006018	39.77061133	54.36770929	-14.59709796	1.25173	63.59733917	93.92285297	-30.3255138
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	124	D. hansenii	Salt	Clotrimazole	1000	0.3	12.92022702	8.879309467	32.52489557	-23.6455861	0.052169918	43.39376338	68.05782548	-24.6640621	2.226563923	47.57456279	57.46797482	-9.893412034	1.162381	66.41663399	94.44183872	-28.02520473
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	123	D. hansenii	Salt	Clotrimazole	1200	0.3	14.09140163	10.59835956	34.78220279	-24.18384323	0.050828812	44.84891208	64.22976602	-19.38085394	2.016730003	52.5151957	60.666874	-8.1516783	1.095775	68.51830217	94.67555255	-26.15725037
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	122	D. hansenii	Salt	Clotrimazole	1300	0.3	16.14078023	13.60643746	34.87706211	-21.27062465	0.056842011	38.32437455	67.52870072	-29.20432617	1.950766176	54.06834333	63.74306852	-9.674725199	1.077499	69.09497827	95.2564468	-26.16146854
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	121	D. hansenii	Salt	Clotrimazole	1400	0.3	18.69254166	17.35191287	36.23891347	-18.8870006	0.06403707	30.51747712	71.0333052	-40.51582809	1.957759999	53.90367066	65.08219478	-11.17852412	1.085098	68.85520142	95.39495997	-26.53975855
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	138	D. hansenii	Salt	Clotrimazole	300	0.45	23.23811976	24.02391239	46.84194848	-22.81803609	0.02505157	72.81814647	73.84664783	-1.028501359	1.471182555	65.36035284	84.3218847	-18.96153186	0.3278916	92.74789277	97.07617425	-4.328281483
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	137	D. hansenii	Salt	Clotrimazole	500	0.45	16.93242529	14.76841407	46.93951225	-32.17109818	0.030989411	66.37537563	76.22075753	-9.845381897	1.942806952	54.2557468	85.0236718	-30.767925	0.5772509	84.87967508	97.38126608	-12.501591
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	136	D. hansenii	Salt	Clotrimazole	650	0.45	20.67210856	20.25752116	47.16096766	-26.90344649	0.04468967	51.51010214	78.12120472	-26.61110258	1.866680935	56.0481677	85.60005639	-29.5518887	0.6983501	81.05854281	97.63894909	-16.58040628
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	135	D. hansenii	Salt	Clotrimazole	800	0.45	19.60366971	18.68926662	47.54942368	-28.86015706	0.051415308	44.21254298	79.51491525	-35.30237227	1.899470419	55.27612473	86.66264992	-31.38652519	0.813505	77.42497542	97.86054728	-20.43557185
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	134	D. hansenii	Salt	Clotrimazole	1000	0.45	19.81871849	19.00491523	48.1438225	-29.13890727	0.052881319	42.62186767	80.69188413	-38.07001646	1.732053176	59.21803813	87.56879174	-28.3507536	0.8119254	77.4748177	98.04325562	-20.56843792
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	133	D. hansenii	Salt	Clotrimazole	1200	0.45	23.30464791	24.12156241	49.87861529	-25.75705288	0.059658905	35.2679433	78.37793348	-43.10999019	1.567473814	63.09313235	88.50376207	-25.41062972	0.7473824	79.51139053	98.12553431	-18.61414378
8092017	230	P229 P230 VMU 08092017 Trimmed F.csv	132	D. hansenii	Salt	Clotrimazole	1300	0.45	23.77797987	24.81631907	49.95151687	-25.1351978	0.058662939	36.3486027	80.37204361	-44.0234409	1.535487741	63.84625865	89.40286844	-25.55660979	0.7466897	79.5332478	98.33003747	-18.79678967
